Dataset size,Model,Aggregation method,Aggregation method parameters,AUPRC_Mean,AUPRC_Std,AUROC_Mean,AUROC_Std,AP@T_Mean,AP@T_Std,AP@T (two or more label errors)_Mean,AP@T (two or more label errors)_Std,AP@T (three or more label errors)_Mean,AP@T (three or more label errors)_Std,Spearman Rank Correlation_Mean,Spearman Rank Correlation_Std
Small Dataset,Logistic Regression,Cumulative,{'k': 1},0.68414,0.06187,0.79998,0.04449,0.79563,0.06333,0.32004,0.05582,0.09123,0.12651,0.49175,0.07259
Small Dataset,Logistic Regression,Cumulative,{'k': 2},0.6242,0.08492,0.77475,0.04152,0.72248,0.09597,0.69942,0.11073,0.41909,0.27618,0.45761,0.07415
Small Dataset,Logistic Regression,Cumulative,{'k': 3},0.57713,0.07971,0.73749,0.0381,0.67745,0.09638,0.54654,0.20581,0.67194,0.326,0.39921,0.06737
Small Dataset,Logistic Regression,Cumulative,{'k': 4},0.54532,0.07026,0.70927,0.03168,0.65084,0.08879,0.50801,0.17751,0.39461,0.38099,0.35337,0.05437
Small Dataset,Logistic Regression,EMA,0.2,0.50796,0.06035,0.67638,0.02998,0.61053,0.0963,0.46729,0.1974,0.33409,0.35881,0.29769,0.0462
Small Dataset,Logistic Regression,EMA,0.4,0.59505,0.07634,0.7506,0.03626,0.70196,0.08912,0.53975,0.13405,0.49646,0.33851,0.41873,0.06352
Small Dataset,Logistic Regression,EMA,0.5,0.62484,0.07912,0.77351,0.04005,0.72915,0.0897,0.62901,0.11096,0.63697,0.26783,0.45468,0.07061
Small Dataset,Logistic Regression,EMA,0.6,0.64809,0.07838,0.78779,0.04221,0.75433,0.08781,0.65477,0.12116,0.68954,0.30482,0.47663,0.0736
Small Dataset,Logistic Regression,EMA,0.8,0.67257,0.07063,0.79869,0.04291,0.77933,0.07665,0.62049,0.12169,0.49343,0.3778,0.49207,0.07286
Small Dataset,Logistic Regression,EMA,0.85,0.67648,0.06862,0.79984,0.04316,0.78358,0.07372,0.59607,0.13053,0.46326,0.39604,0.49334,0.07262
Small Dataset,Logistic Regression,EMA,0.9,0.67987,0.0666,0.80049,0.04355,0.78803,0.07073,0.56063,0.11917,0.43917,0.37732,0.49378,0.07253
Small Dataset,Logistic Regression,EMA,0.95,0.68294,0.06427,0.80062,0.04399,0.79272,0.06703,0.49549,0.08225,0.40159,0.39887,0.49339,0.07252
Small Dataset,Logistic Regression,Log,"{'weights': 1, 'biases': 0}",0.6242,0.07323,0.76141,0.03794,0.74644,0.08363,0.57729,0.1253,0.53506,0.33542,0.43552,0.066
Small Dataset,Logistic Regression,Max,{},0.398,0.04044,0.54035,0.04598,0.49358,0.06416,0.40446,0.20878,0.25895,0.29935,0.07094,0.07432
Small Dataset,Logistic Regression,Mean,{},0.54532,0.07026,0.70927,0.03168,0.65084,0.08879,0.50801,0.17751,0.39461,0.38099,0.35337,0.05437
Small Dataset,Logistic Regression,Median,{},0.49552,0.07118,0.6526,0.03471,0.60328,0.08809,0.45008,0.22004,0.66017,0.39816,0.26502,0.05918
Small Dataset,Logistic Regression,Min,{},0.68414,0.06187,0.79998,0.04449,0.79563,0.06333,0.32004,0.05582,0.09123,0.12651,0.49175,0.07259
Small Dataset,Logistic Regression,SMA,{'k': 1},0.54532,0.07026,0.70927,0.03168,0.65084,0.08879,0.50801,0.17751,0.39461,0.38099,0.35337,0.05437
Small Dataset,Logistic Regression,SMA,{'k': 2},0.5279,0.07061,0.6902,0.03257,0.6342,0.08687,0.4858,0.20011,0.48971,0.35125,0.32402,0.05606
Small Dataset,Logistic Regression,SMA,{'k': 3},0.5279,0.07061,0.6902,0.03257,0.6342,0.08687,0.4858,0.20011,0.48971,0.35125,0.32402,0.05606
Small Dataset,Logistic Regression,SMA,{'k': 4},0.54532,0.07026,0.70927,0.03168,0.65084,0.08879,0.50801,0.17751,0.39461,0.38099,0.35337,0.05437
Small Dataset,Logistic Regression,Softmin,{'temperature': 0.01},0.68391,0.06168,0.79974,0.04444,0.79547,0.06318,0.31829,0.05618,0.09123,0.12651,0.49134,0.07247
Small Dataset,Logistic Regression,Softmin,{'temperature': 0.1},0.68841,0.06197,0.80209,0.04655,0.80098,0.05874,0.23678,0.06266,0.0,0.0,0.49454,0.07564
Small Dataset,Logistic Regression,Softmin,{'temperature': 100},0.54588,0.07038,0.70982,0.03171,0.65139,0.08888,0.50931,0.17808,0.39639,0.38028,0.35425,0.05447
